#{"t_start": 1775121136.9829605, "env_id": "None"}
r,l,t
1192.0,200,57.630404
-14.0,5,57.638916
1153.0,200,57.995349
-9.0,1,57.996355
1128.0,200,58.346634
1161.0,200,58.693807
6.0,2,58.699298
17.0,14,58.722464
1108.0,200,59.113993
-3.0,8,59.127063
1075.0,200,59.520854
1183.0,200,59.925991
1169.0,200,60.308897
1239.0,200,60.684526
-20.0,5,60.692064
742.0,131,60.928194
-9.0,4,60.937789
-9.0,4,60.947343
-10.0,3,60.953342
-19.0,6,60.961436
-15.0,1,60.965445
7.0,8,60.978506
-36.0,13,60.999655
65.0,11,61.019735
5.0,14,61.047479
144.0,37,61.10833
-15.0,1,61.112329
-8.0,2,61.11433
-5.0,2,61.118848
41.0,15,61.139898
30.0,7,61.152457
32.0,17,61.187383
-15.0,1,61.193378
1.0,2,61.195855
26.0,15,61.223907
-15.0,1,61.225417
38.0,12,61.245556
22.0,5,61.255603
190.0,33,61.321226
21.0,10,61.341405
-13.0,6,61.353992
11.0,8,61.367773
1.0,2,61.368771
-15.0,1,61.369779
10.0,5,61.381325
10.0,2,61.383323
11.0,12,61.401388
-5.0,2,61.40691
-15.0,1,61.407922
18.0,3,61.413918
-10.0,2,61.416509
-15.0,10,61.43636
7.0,8,61.45
23.0,15,61.476274
519.0,93,61.65679
82.0,12,61.67546
-15.0,1,61.676503
1176.0,200,62.038657
23.0,38,62.105569
1137.0,200,62.46814
0.0,4,62.475685
-12.0,4,62.481737
1096.0,200,62.847152
1155.0,200,63.388887
692.0,115,63.645406
1225.0,200,64.090257
1150.0,200,64.584037
242.0,44,64.690171
98.0,19,64.741804
38.0,11,64.771897
14.0,3,64.773908
1201.0,200,65.234509
63.0,13,65.260136
1150.0,200,65.668326
-7.0,1,65.669325
1.0,2,65.671325
1161.0,200,66.029172
1148.0,200,66.373129
1155.0,200,66.724571
422.0,74,66.846985
64.0,12,66.86403
1219.0,200,67.242985
657.0,116,67.445778
-5.0,2,67.446789
1174.0,200,67.794776
451.0,91,67.953455
1247.0,200,68.335475
25.0,8,68.353619
15.0,16,68.381701
-25.0,4,68.388216
435.0,78,68.534708
541.0,101,68.712384
-1.0,7,68.723901
-24.0,4,68.732456
-3.0,8,68.748528
28.0,21,68.783107
11.0,6,68.790637
-11.0,17,68.821283
8.0,2,68.822277
-4.0,3,68.827811
-5.0,2,68.82981
-18.0,2,68.833809
-15.0,1,68.83481
47.0,12,68.857467
-20.0,2,68.862482
547.0,103,69.032242
5.0,9,69.050404
170.0,35,69.102325
1153.0,200,69.478619
26.0,6,69.494206
1105.0,200,69.862236
768.0,138,70.109998
959.0,161,70.454502
38.0,9,70.47576
586.0,106,70.672579
1067.0,200,71.048727
11.0,3,71.054731
-4.0,2,71.062252
1152.0,200,71.450644
713.0,123,71.666094
150.0,130,71.892734
128.0,24,71.939497
-2.0,1,71.940497
6.0,2,71.944498
30.0,10,71.957557
1177.0,200,72.318027
1206.0,200,72.67432
434.0,78,72.808953
20.0,6,72.819508
1188.0,200,73.179774
1220.0,200,73.536821
1129.0,200,73.887185
-23.0,3,73.893202
86.0,17,73.926494
1129.0,200,74.295912
962.0,173,74.601066
28.0,30,74.65536
177.0,33,74.712812
1174.0,200,75.073849
1081.0,186,75.435594
3.0,7,75.448174
-19.0,3,75.455652
1224.0,200,75.854167
10.0,5,75.862694
26.0,10,75.879256
-10.0,3,75.884257
1205.0,200,76.327024
1163.0,200,76.735495
205.0,35,76.790857
576.0,103,76.976812
-5.0,2,76.983824
0.0,4,76.994353
-9.0,7,77.0039
0.0,1,77.010438
-4.0,3,77.014439
15.0,9,77.046602
-10.0,10,77.070691
7.0,8,77.095803
-12.0,2,77.107356
-2.0,5,77.118903
-5.0,2,77.120899
-24.0,4,77.131443
-5.0,5,77.148502
5.0,3,77.151506
10.0,2,77.160038
19.0,4,77.171576
-20.0,2,77.173095
-14.0,2,77.178657
1170.0,200,77.59666
33.0,10,77.615681
944.0,160,77.932956
-15.0,1,77.937527
3.0,2,77.938526
433.0,75,78.075978
824.0,149,78.452501
972.0,165,78.821169
1183.0,200,79.381216
2.0,3,79.388754
2.0,3,79.397266
169.0,200,79.823431
183.0,179,80.180793
1189.0,200,80.542313
0.0,1,80.542313
1152.0,200,80.975951
1122.0,200,81.336535
45.0,10,81.357684
1136.0,200,81.821561
-2.0,1,81.826077
1130.0,200,82.270356
300.0,60,82.37037
1089.0,200,82.768691
1.0,2,82.770692
-15.0,1,82.770692
-10.0,3,82.777859
1168.0,200,83.135564
1226.0,200,83.514005
-12.0,2,83.521595
127.0,24,83.567189
196.0,170,84.041025
-5.0,2,84.053572
41.0,9,84.086746
1147.0,200,84.637249
9.0,3,84.643256
653.0,118,84.901192
970.0,173,85.253672
1161.0,200,85.64415
1192.0,200,86.111616
1102.0,200,86.624023
1125.0,200,87.023588
529.0,91,87.216785
1025.0,184,87.554086
26.0,6,87.566152
6.0,2,87.567161
3.0,7,87.578691
1183.0,200,87.913626
1195.0,200,88.264677
15.0,4,88.271293
6.0,2,88.272296
-2.0,1,88.277872
